,myear,fuel,km,owner,transmission,brand,model,variant,price,city
1487,2017,Petrol,"42,206 Kms",1st Owner,Manual,2018 Maruti Ignis,2018 Maruti Ignis,1.2 Delta BSIV,"4,70,000",Bangalore
1488,2016,Petrol,"19,022 Kms",1st Owner,Manual,2016 Mahindra KUV 100,2016 Mahindra KUV 100,mFALCON G80 K8,"4,24,000",Bangalore
1489,2016,Petrol,"43,771 Kms",1st Owner,Manual,2016 Honda Brio,2016 Honda Brio,1.2 E MT,"3,80,000",Bangalore
1490,2019,Petrol,"9,369 Kms",1st Owner,Manual,2019 Hyundai Grand i10,2019 Hyundai Grand i10,1.2 Kappa Sportz BSIV,"5,85,000",Bangalore
1491,2010,Petrol,"60,998 Kms",1st Owner,Manual,2010 Maruti Alto,2010 Maruti Alto,LXi BSIII,"2,30,500",Bangalore
1492,2008,Petrol,"93,398 Kms",1st Owner,Manual,2008 Hyundai i10,2008 Hyundai i10,Sportz,"2,73,500",Bangalore
1493,2019,Petrol,"37,381 Kms",1st Owner,Automatic,2019 Maruti Celerio,2019 Maruti Celerio,ZXI AMT,"5,39,000",Bangalore
1494,2018,Petrol,"17,000 Kms",1st Owner,Automatic,2018 Renault KWID,2018 Renault KWID,Climber 1.0 AMT Opt,"4,99,568",Bangalore
1495,2019,Petrol,"7,129 Kms",1st Owner,Manual,2019 Hyundai Grand i10,2019 Hyundai Grand i10,Sportz,"6,36,500",Bangalore
1496,2013,Petrol,"44,110 Kms",1st Owner,Manual,2013 Hyundai Grand i10,2013 Hyundai Grand i10,1.2 Kappa Asta,"4,52,760",Bangalore
1497,2016,Petrol,"18,740 Kms",1st Owner,Manual,2016 Hyundai Grand i10,2016 Hyundai Grand i10,Sportz,"4,95,000",Bangalore
1498,2018,Petrol,"24,416 Kms",1st Owner,Automatic,2018 Renault KWID,2018 Renault KWID,1.0 RXT AMT BSIV,"4,77,000",Bangalore
1499,2017,Petrol,"21,042 Kms",2nd Owner,Automatic,2017 Maruti Celerio,2017 Maruti Celerio,ZXI AMT BSIV,"4,76,500",Bangalore
1500,2015,Petrol,"26,166 Kms",1st Owner,Manual,2015 Honda Jazz,2015 Honda Jazz,1.2 SV i VTEC,"6,00,000",Bangalore
1501,2017,Petrol,"42,752 Kms",1st Owner,Manual,2018 Maruti Alto 800,2018 Maruti Alto 800,LXI,"2,55,000",Bangalore
1502,2012,Petrol,"82,001 Kms",1st Owner,Manual,2012 Maruti Alto K10,2012 Maruti Alto K10,2010-2014 VXI,"2,65,000",Bangalore
1503,2015,Diesel,"42,361 Kms",1st Owner,Manual,2015 Honda Jazz,2015 Honda Jazz,1.5 VX i DTEC,"6,60,000",Bangalore
1504,2018,Petrol,"21,853 Kms",1st Owner,Manual,2019 Hyundai Santro,2019 Hyundai Santro,Asta BSIV,"5,00,000",Bangalore
1505,2018,Petrol,"20,965 Kms",1st Owner,Automatic,2018 Renault KWID,2018 Renault KWID,AMT,"4,30,000",Bangalore
1506,2016,Petrol,"28,974 Kms",1st Owner,Manual,2016 Hyundai Grand i10,2016 Hyundai Grand i10,Sportz,"5,16,000",Bangalore
1507,2017,Petrol,"49,814 Kms",1st Owner,Manual,2017 Hyundai Grand i10,2017 Hyundai Grand i10,Sportz,"5,25,000",Bangalore
1508,2009,Petrol,"86,950 Kms",2nd Owner,Manual,2009 Maruti Swift Dzire,2009 Maruti Swift Dzire,VXi,"3,29,000",Bangalore
